method,group,agent,split_type,split,record_level,n,n_present,compile,sa_pass_soft,sa_pass
Claude Code (Opus 4.6),Agentic,,all,all,,178,178,4.5,1.4,0.0
Claude Code (Opus 4.6),Agentic,,level,L1,L2,113,113,6.2,1.8,0.0
Claude Code (Opus 4.6),Agentic,,level,L2,L3,52,52,1.9,1.0,0.0
Claude Code (Opus 4.6),Agentic,,level,L3,L4,13,13,0.0,0.0,0.0
Claude Code (Opus 4.6),Agentic,,category,algebra,,26,26,3.8,1.9,0.0
Claude Code (Opus 4.6),Agentic,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Claude Code (Opus 4.6),Agentic,,category,analysis,,28,28,0.0,0.0,0.0
Claude Code (Opus 4.6),Agentic,,category,combinatorics,,14,14,14.3,3.6,0.0
Claude Code (Opus 4.6),Agentic,,category,geometry,,24,24,8.3,4.2,0.0
Claude Code (Opus 4.6),Agentic,,category,number-theory,,19,19,0.0,0.0,0.0
Claude Code (Opus 4.6),Agentic,,category,probability,,20,20,5.0,0.0,0.0
Claude Code (Opus 4.6),Agentic,,category,topology,,25,25,8.0,2.0,0.0
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,all,all,,178,178,47.2,15.7,9.0
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,level,L1,L2,113,113,55.8,16.8,8.8
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,level,L2,L3,52,52,36.5,17.3,11.5
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,level,L3,L4,13,13,15.4,0.0,0.0
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,category,algebra,,26,26,61.5,17.3,11.5
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,category,algebraic-geometry,,22,22,31.8,9.1,4.5
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,category,analysis,,28,28,57.1,35.7,25.0
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,category,combinatorics,,14,14,42.9,17.9,7.1
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,category,geometry,,24,24,54.2,12.5,0.0
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,category,number-theory,,19,19,26.3,0.0,0.0
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,category,probability,,20,20,50.0,0.0,0.0
Claude Code (Opus 4.6) + Numina,Agentic,Numina-Lean-Agent,category,topology,,25,25,44.0,24.0,16.0
Claude Code (Opus 4.8),Agentic,,all,all,,178,178,20.2,5.1,2.8
Claude Code (Opus 4.8),Agentic,,level,L1,L2,113,113,24.8,4.9,2.7
Claude Code (Opus 4.8),Agentic,,level,L2,L3,52,52,13.5,6.7,3.8
Claude Code (Opus 4.8),Agentic,,level,L3,L4,13,13,7.7,0.0,0.0
Claude Code (Opus 4.8),Agentic,,category,algebra,,26,26,38.5,5.8,3.8
Claude Code (Opus 4.8),Agentic,,category,algebraic-geometry,,22,22,18.2,9.1,4.5
Claude Code (Opus 4.8),Agentic,,category,analysis,,28,28,17.9,5.4,3.6
Claude Code (Opus 4.8),Agentic,,category,combinatorics,,14,14,21.4,17.9,14.3
Claude Code (Opus 4.8),Agentic,,category,geometry,,24,24,33.3,4.2,0.0
Claude Code (Opus 4.8),Agentic,,category,number-theory,,19,19,15.8,0.0,0.0
