method,group,task_id,area,level,record_level,compile,sa_pass_soft,sa_pass,present
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_comp_L2_001,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_comp_L2_002,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_four_L2_001,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_four_L2_002,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_four_L2_003,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_four_L2_004,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_gen_L2_001,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_gen_L2_002,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_gen_L2_003,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_gen_L2_004,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_gen_L2_004_v2,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_gen_L2_005,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_mero_L2_001,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L2/ana_mero_L2_002,analysis,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_comp_L3_001,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_gen_L3_001,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_gen_L3_002,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_gen_L3_003,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_gen_L3_004,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_gen_L3_005,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_gen_L3_006,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_gen_L3_007,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_gen_L3_008,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L3/ana_pde_L3_001,analysis,L2,L3,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L4/ana_func_L4_001,analysis,L3,L4,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L4/ana_func_L4_002,analysis,L3,L4,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L4/ana_func_L4_003,analysis,L3,L4,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,analysis/L4/ana_real_L4_001,analysis,L3,L4,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,topology/L2/top_gen_L2_001,topology,L1,L2,0,0.0,0,1
Claude Code (Opus 4.6),Agentic,topology/L2/top_gen_L2_004,topology,L1,L2,0,0.0,0,1
